City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Mount Gambier,AU,2022-10-01 17:13:29,-37.8333,140.7667,47.14,96,5,4.63
115,Xapuri,BR,2022-10-01 17:13:29,-10.6517,-68.5044,97.56,28,26,4.09
116,Tateyama,JP,2022-10-01 17:09:50,34.9833,139.8667,71.1,82,14,9.89
117,East Hemet,US,2022-10-01 17:13:30,33.74,-116.9389,87.76,44,1,3.56
118,Thinadhoo,MV,2022-10-01 17:13:30,0.5333,72.9333,82.11,73,62,12.97
119,Talon,PH,2022-10-01 17:13:30,11.56,122.6811,77.22,88,62,3.96
120,Cape Town,ZA,2022-10-01 17:10:54,-33.9258,18.4232,63.27,70,0,17.27
121,Karratha,AU,2022-10-01 17:13:31,-20.7377,116.8463,72.77,78,0,14.61
122,Thompson,CA,2022-10-01 17:12:17,55.7435,-97.8558,46.56,53,0,8.05
123,Bethel,US,2022-10-01 17:13:31,41.3712,-73.414,58.05,94,100,9.98
124,East London,ZA,2022-10-01 17:09:50,-33.0153,27.9116,65.19,70,89,6.49
125,Aquin,HT,2022-10-01 17:13:32,18.2833,-73.4,85.17,68,100,9.55
126,Nishihara,JP,2022-10-01 17:13:32,26.1842,127.7558,79.88,78,2,3.44
127,Portland,US,2022-10-01 17:13:31,45.5234,-122.6762,73.62,71,0,8.01
128,Hamilton,US,2022-10-01 17:13:00,39.1834,-84.5333,71.26,41,0,17.27
129,Skhisma,GR,2022-10-01 17:13:33,35.2667,25.7167,81.84,53,2,1.63
130,Vostok,RU,2022-10-01 17:13:33,46.4856,135.8833,39.58,96,10,3.4
131,Kodinsk,RU,2022-10-01 17:13:33,58.6881,99.1844,29.8,75,100,3.42
132,Lavrentiya,RU,2022-10-01 17:13:34,65.5833,-171.0,35.69,77,24,18.34
133,Ginda,IN,2022-10-01 17:13:34,30.6945,78.4932,57.34,83,12,6.91
134,Valparaiso,CL,2022-10-01 17:13:34,-33.0393,-71.6273,62.01,89,100,10.36
135,Asfi,MA,2022-10-01 17:13:35,32.2994,-9.2372,74.66,57,4,22.19
136,Watsa,CD,2022-10-01 17:13:35,3.0372,29.5355,65.48,96,98,3.44
137,Port Elizabeth,ZA,2022-10-01 17:09:35,-33.918,25.5701,61.32,87,66,5.01
138,Richards Bay,ZA,2022-10-01 17:14:35,-28.783,32.0377,70.3,82,99,14.32
139,Bechem,GH,2022-10-01 17:14:36,7.0903,-2.025,76.08,95,85,2.39
140,Usinsk,RU,2022-10-01 17:14:36,65.9939,57.5281,37.22,94,100,18.52
141,Grigiskes,LT,2022-10-01 17:14:36,54.6833,25.0833,48.83,90,92,3.44
142,Butaritari,KI,2022-10-01 17:14:37,3.0707,172.7902,81.52,76,100,15.46
143,Bordighera,IT,2022-10-01 17:14:37,43.7806,7.6645,71.6,61,0,10.4
144,Mackay,AU,2022-10-01 17:14:37,-21.15,149.2,64.69,70,93,4.5
145,Tuatapere,NZ,2022-10-01 17:14:38,-46.1333,167.6833,34.07,94,23,4.12
146,Ostrovnoy,RU,2022-10-01 17:14:38,68.0531,39.5131,35.62,96,100,11.74
147,Tulun,RU,2022-10-01 17:14:38,54.5611,100.5792,28.47,77,99,10.54
148,Boyolangu,ID,2022-10-01 17:14:39,-8.1181,111.8935,75.54,94,97,2.73
149,Bambous Virieux,MU,2022-10-01 17:14:39,-20.3428,57.7575,70.21,83,75,6.91
150,Ribeira Grande,PT,2022-10-01 17:14:39,38.5167,-28.7,73.8,78,75,19.57
151,Somerset,US,2022-10-01 17:14:40,40.5668,-74.5496,59.88,93,100,10.36
152,Asau,RO,2022-10-01 17:14:40,46.4333,26.4,67.28,61,100,4.56
153,Isangel,VU,2022-10-01 17:14:40,-19.55,169.2667,75.38,89,27,3.13
154,Hohhot,CN,2022-10-01 17:14:41,40.8106,111.6522,62.33,70,12,3.58
155,Aketi,CD,2022-10-01 17:14:41,2.7388,23.7833,72.66,88,67,3.27
156,Ko Samui,TH,2022-10-01 17:14:41,9.5357,99.9357,82.65,75,100,14.03
157,Den Helder,NL,2022-10-01 17:14:42,52.9599,4.7593,62.58,73,20,18.41
158,Ipswich,GB,2022-10-01 17:14:42,52.0592,1.1555,64.76,60,75,13.8
159,Chuncheng,CN,2022-10-01 17:14:42,22.1731,111.7886,75.16,95,89,2.08
160,Kenai,US,2022-10-01 17:14:43,60.5544,-151.2583,40.08,96,40,4.61
161,Lukulu,ZM,2022-10-01 17:14:43,-14.3707,23.242,82.29,12,40,6.26
162,Ostroh,UA,2022-10-01 17:14:43,50.3294,26.5143,56.08,98,99,5.7
163,Hobart,AU,2022-10-01 17:14:44,-42.8794,147.3294,44.46,81,8,6.91
164,Torbay,CA,2022-10-01 17:14:44,47.6666,-52.7314,65.88,51,20,20.71
165,Sitka,US,2022-10-01 17:14:44,57.0531,-135.33,55.29,76,20,8.05
166,San Vicente,AR,2022-10-01 17:10:36,-26.6167,-54.1333,73.98,52,78,1.52
