City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Antofagasta,CL,-23.65,-70.4,60.08,68,12,7.18,few clouds
114,Goderich,CA,43.7501,-81.7165,68.32,40,100,13.8,overcast clouds
115,Mezen,RU,65.8522,44.24,37.13,98,71,4.36,broken clouds
116,Launceston,AU,-41.45,147.1667,49.15,89,100,5.75,overcast clouds
117,Vardo,NO,70.3705,31.1107,35.58,87,100,4.61,overcast clouds
118,Logan,US,41.7355,-111.8344,68.2,46,50,5.01,scattered clouds
119,Sines,PT,37.9562,-8.8698,67.28,61,91,4.0,overcast clouds
120,East London,ZA,-33.0153,27.9116,65.01,72,61,3.4,broken clouds
121,Koungou,YT,-12.7336,45.2042,74.91,78,0,4.61,clear sky
122,Kavaratti,IN,10.5669,72.642,81.1,75,98,14.23,overcast clouds
123,Ponta Do Sol,PT,32.6667,-17.1,71.01,84,58,6.11,broken clouds
124,San Cristobal,VE,7.7669,-72.225,75.38,82,39,5.39,scattered clouds
125,Blagoyevo,RU,63.3667,47.9167,42.96,95,92,3.33,overcast clouds
126,Asau,RO,46.4333,26.4,61.72,73,100,6.58,overcast clouds
127,Chapais,CA,49.7834,-74.8492,42.58,61,98,8.05,overcast clouds
128,Guerrero Negro,MX,27.9769,-114.0611,74.77,61,0,14.36,clear sky
129,Barrow,US,71.2906,-156.7887,28.13,74,100,12.77,overcast clouds
130,Pevek,RU,69.7008,170.3133,33.33,81,100,6.55,overcast clouds
131,Maniitsoq,GL,65.4167,-52.9,34.75,90,99,6.8,overcast clouds
132,Tura,IN,25.5198,90.2201,73.42,97,93,5.41,overcast clouds
133,Itoman,JP,26.1247,127.6694,78.82,91,20,2.3,few clouds
134,Burns Lake,CA,54.2331,-125.7533,74.62,36,5,7.83,clear sky
135,Cayenne,GF,4.9333,-52.3333,84.24,74,0,5.75,clear sky
136,Kavieng,PG,-2.5744,150.7967,82.54,76,13,11.77,light rain
137,Bambous Virieux,MU,-20.3428,57.7575,71.85,56,75,10.36,broken clouds
138,Medicine Hat,CA,50.0501,-110.6683,72.03,41,20,11.5,few clouds
139,Outlook,CA,51.5001,-107.0513,68.23,37,45,9.78,scattered clouds
140,Lake City,US,30.1897,-82.6393,83.91,41,0,11.5,clear sky
141,Rawson,AR,-43.3002,-65.1023,53.35,50,68,13.4,broken clouds
